time,open,high,low,close,volume
2025-10-09 00:13:00,228.22,228.22,228.2,228.2,759.68165731
2025-10-09 00:14:00,228.21,228.21,228.18,228.21,26.51014762
2025-10-09 00:15:00,228.22,228.38,228.22,228.28,13.2056217
2025-10-09 00:16:00,228.3,228.31,228.3,228.31,1.51281953
2025-10-09 00:17:00,228.38,228.5,228.38,228.5,57.86493736
2025-10-09 00:18:00,228.5,229.16,228.5,229.16,21.37828091
2025-10-09 00:19:00,229.22,229.23,229.21,229.23,439.46152714
2025-10-09 00:20:00,229.29,229.42,229.29,229.37,50.66057882
2025-10-09 00:21:00,229.25,229.35,229.25,229.31,431.06201994
2025-10-09 00:22:00,229.37,229.37,229.36,229.37,37.24103664
2025-10-09 00:23:00,229.36,229.37,229.36,229.36,24.72659892
2025-10-09 00:24:00,229.22,229.22,228.83,228.94,178.47992992
2025-10-09 00:25:00,228.89,228.98,228.89,228.95,444.46134773
2025-10-09 00:26:00,228.97,228.97,228.97,228.97,0.43674
2025-10-09 00:27:00,229.0,229.0,228.77,228.82,4.09461105
2025-10-09 00:28:00,228.82,228.84,228.82,228.83,1.51180786
2025-10-09 00:29:00,228.83,228.83,228.82,228.82,5.44094445
2025-10-09 00:30:00,228.69,229.03,228.69,229.03,3.12904051
2025-10-09 00:31:00,228.73,229.06,228.73,228.92,17.64182915
2025-10-09 00:32:00,228.84,228.84,228.7,228.7,5.27108724
2025-10-09 00:33:00,228.58,228.58,228.2,228.2,6.67763911
2025-10-09 00:34:00,228.23,228.23,228.19,228.19,0.46721091
2025-10-09 00:35:00,228.38,228.38,228.28,228.37,3.38413515
2025-10-09 00:36:00,228.38,228.61,228.38,228.61,0.47590128
2025-10-09 00:37:00,228.61,228.61,228.51,228.51,28.02362156
2025-10-09 00:38:00,228.57,228.69,228.57,228.68,34.36154172
2025-10-09 00:39:00,228.68,228.69,228.63,228.63,0.86639907
2025-10-09 00:40:00,228.79,229.14,228.79,229.12,77.08446136
2025-10-09 00:41:00,229.14,229.21,229.14,229.15,22.64430886
2025-10-09 00:42:00,229.15,229.15,229.04,229.04,27.66233421
2025-10-09 00:43:00,228.99,228.99,228.98,228.99,26.78326138
2025-10-09 00:44:00,228.92,228.92,228.68,228.68,176.36624365
2025-10-09 00:45:00,228.68,228.68,228.68,228.68,7.21492791
2025-10-09 00:46:00,228.68,228.68,228.68,228.68,0.00614
2025-10-09 00:47:00,228.73,229.01,228.73,229.01,4.5911393
2025-10-09 00:48:00,228.96,228.96,228.83,228.93,24.42013579
2025-10-09 00:49:00,228.93,228.95,228.79,228.8,14.29655336
2025-10-09 00:50:00,228.77,228.77,228.68,228.69,2.61186321
2025-10-09 00:51:00,228.69,228.8,228.68,228.68,49.14396964
2025-10-09 00:52:00,228.68,228.68,228.67,228.67,11.03284983
2025-10-09 00:53:00,228.55,228.65,228.5,228.5,7.49749
2025-10-09 00:54:00,228.51,228.51,228.32,228.32,314.22931367
2025-10-09 00:55:00,228.38,228.56,228.38,228.56,21.84158284
2025-10-09 00:56:00,228.6,228.65,228.58,228.65,57.56899
2025-10-09 00:57:00,228.66,228.7,228.65,228.7,0.49897
2025-10-09 00:58:00,228.71,228.71,228.58,228.59,14.23363544
2025-10-09 00:59:00,228.58,228.58,228.36,228.39,18.98550072
2025-10-09 01:00:00,228.36,228.59,228.36,228.56,2.37255639
2025-10-09 01:01:00,228.58,228.58,228.46,228.46,3.93637741
2025-10-09 01:02:00,228.36,228.37,228.16,228.18,416.31370826
2025-10-09 01:03:00,228.17,228.17,228.1,228.1,5.23091648
2025-10-09 01:04:00,228.21,228.21,228.16,228.16,301.75542584
2025-10-09 01:05:00,228.16,228.16,227.82,227.83,619.29160579
2025-10-09 01:06:00,227.87,227.88,227.77,227.83,122.45722187
2025-10-09 01:07:00,227.74,227.74,227.61,227.61,75.50046758
2025-10-09 01:08:00,227.63,227.63,227.38,227.39,818.03602329
2025-10-09 01:09:00,227.41,227.47,227.3,227.47,137.26059281
2025-10-09 01:10:00,227.38,227.59,227.38,227.59,7.19182807
2025-10-09 01:11:00,227.57,227.64,227.57,227.58,26.03709612
2025-10-09 01:12:00,227.63,227.63,227.51,227.57,17.97012622
2025-10-09 01:13:00,227.64,227.79,227.64,227.65,1.04002
2025-10-09 01:14:00,227.57,227.57,227.3,227.3,195.93570041
2025-10-09 01:15:00,227.3,227.4,227.15,227.15,308.39783992
2025-10-09 01:16:00,227.12,227.13,227.08,227.09,1443.25011696
